regime,sigma_s,xi,snr_db,aber_system,aber_system_quad,ref_spread_percent,floor_fast,floor_quad,resolved,f_H_mass,E_H_numeric,E_H_analytic,A0
weak,0.05,2.511,48,0.00000000e+00,0.00000000e+00,nan,4.397657e-18,6.136681e-18,0,0.999992,1.095730,1.095738,7.934519e-02
weak,0.05,3.104,16,1.24240090e-01,1.24215607e-01,0.019707,7.729853e-18,5.452330e-18,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,18,7.61050275e-02,7.60903407e-02,0.019298,3.864526e-34,4.353296e-37,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,20,3.87998985e-02,3.87926087e-02,0.018788,1.067631e-20,2.313266e-42,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,22,1.55024272e-02,1.54996164e-02,0.018132,1.565142e-17,2.562452e-18,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,24,4.53377522e-03,4.53298964e-03,0.017327,2.067349e-17,1.818226e-17,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,26,9.04085684e-04,9.03937410e-04,0.016400,5.842329e-19,1.036350e-17,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,28,1.14998440e-04,1.14980789e-04,0.015349,1.592639e-18,7.294607e-20,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,30,8.82100154e-06,8.81974786e-06,0.014212,8.047740e-20,1.333212e-17,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,32,3.91434285e-07,3.91383269e-07,0.013033,9.466326e-291,0.000000e+00,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,34,9.79728705e-09,9.79612583e-09,0.011852,1.132893e-17,0.000000e+00,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,36,1.36956707e-10,1.36942058e-10,0.010696,1.398432e-17,1.563984e-17,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,38,1.07317062e-12,1.07309225e-12,0.007303,9.423058e-18,0.000000e+00,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,40,4.78351185e-15,4.77522258e-15,0.173288,4.318257e-19,7.048215e-18,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,42,8.67073075e-18,4.50209074e-18,48.077147,3.723982e-18,7.886594e-18,0,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,44,2.22064619e-17,0.00000000e+00,100.000000,0.000000e+00,1.494539e-18,1,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,46,0.00000000e+00,9.11428298e-19,nan,3.054138e-18,8.294307e-20,0,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.104,48,0.00000000e+00,6.81401679e-18,nan,7.259779e-18,0.000000e+00,0,0.999991,0.752417,0.752422,5.190725e-02
weak,0.05,3.912,16,2.22256726e-01,2.22210278e-01,0.020898,7.388212e-18,5.794293e-18,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,18,1.69528405e-01,1.69493147e-01,0.020798,7.805199e-18,3.984786e-19,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,20,1.16784542e-01,1.16760371e-01,0.020697,5.568805e-19,4.194986e-36,1,0.999991,0.490724,0.490729,3.267471e-02
weak,0.05,3.912,22,6.98510215e-02,6.98366487e-02,0.020576,1.394468e-20,3.928734e-38,1,0.999991,0.490724,0.490729,3.267471e-02
