regime,sigma_s,snr_db,xi,z,K,A0,Pe_reference,Pe_interp_free,abs_err_interp_free,rel_err_interp_free,eta_f64,ref_in_range,f64_in_range
moderate,0.2,38,1.1316137639811137,2.298001,20,0.024404807310935452,2.60311347164972839e-01,2.60311347164973839e-01,9.992007e-16,3.838483e-15,1.235444e-15,1,1
moderate,0.2,44,0.96999206057253773,0.846196,10,0.03321654206260715,1.77629622429732320e-01,1.77629622429732348e-01,2.775558e-17,1.562553e-16,7.961212e-17,1,1
moderate,0.3,40,1.3927993000468917,6.222047,20,0.0071596578423533952,3.51066012721565179e-01,3.51066012721474863e-01,9.031664e-14,2.572640e-13,5.951616e-14,1,1
strong,0.05,30,3.1046631741449238,1.137749,10,0.051885069605808729,2.38892075809840038e-01,2.38892075809837401e-01,2.636780e-15,1.103754e-14,8.101317e-16,1,1
strong,0.05,34,1.1867163651719781,0.103198,5,0.36092478551222712,8.93721489837199928e-02,8.93721489837193128e-02,6.800116e-16,7.608764e-15,2.691402e-16,1,1
strong,0.05,38,3.8894904582290248,0.710991,10,0.033054069482148909,1.85355230652668124e-01,1.85355230652668457e-01,3.330669e-16,1.796911e-15,4.473978e-16,1,1
strong,0.05,40,1.9971643702047137,0.148698,5,0.12554079426371345,7.76960506560233910e-02,7.76960506560234881e-02,9.714451e-17,1.250315e-15,1.024526e-16,1,1
strong,0.05,44,1.4949865280182992,0.052369,5,0.22491130069416351,4.25256926318019618e-02,4.25256926318020451e-02,8.326673e-17,1.958033e-15,4.635835e-17,1,1
strong,0.1,30,1.4990192093758039,1.060904,10,0.055643273691611227,2.67666981076095656e-01,2.67666981076075672e-01,1.998401e-14,7.465999e-14,1.538682e-14,1,1
strong,0.1,34,1.2042878939829329,0.431866,5,0.086246178000905074,1.99643859551725783e-01,1.99643859551723812e-01,1.970646e-15,9.870806e-15,1.285171e-15,1,1
strong,0.1,38,4.481100279336145,3.775260,20,0.0062250390515691837,3.60596140559600875e-01,3.60596140559571843e-01,2.903233e-14,8.051204e-14,5.906962e-15,1,1
strong,0.1,40,3.1436576958377604,1.475855,10,0.012648682724055607,2.67220074072830882e-01,2.67220074072827107e-01,3.774758e-15,1.412603e-14,1.103144e-15,1,1
strong,0.1,44,4.4001938840545645,1.824404,10,0.0064560648677695759,2.85154360255007844e-01,2.85154360255001293e-01,6.550316e-15,2.297112e-14,1.332572e-15,1,1
strong,0.2,34,2.4868107593490247,7.370950,20,0.0050531880795753473,4.22811613689544286e-01,4.22811613647354534e-01,4.218975e-11,9.978381e-11,2.397348e-12,1,1
strong,0.2,40,0.77468185997948924,0.358413,5,0.05208413178120791,2.61576963996759781e-01,2.61576963996760004e-01,2.220446e-16,8.488691e-16,2.344613e-16,1,1
strong,0.2,44,1.3800873022638349,0.717864,10,0.01640766110609861,2.34392362544127542e-01,2.34392362544125987e-01,1.554312e-15,6.631241e-15,1.559397e-15,1,1
