regime,sigma_s,xi,snr_db,K,A0,z,admissible,max_abs_ak,eta_f64,first_omitted,Pe_series
weak,0.05,1.266,38,5,3.156681e-01,0.7106,0,4.730769e-03,1.050442e-18,4.210781e-08,1.058346e-02
weak,0.05,1.266,38,10,3.156681e-01,0.7106,1,4.730769e-03,1.050442e-18,1.551865e-16,1.058350e-02
weak,0.05,1.266,38,20,3.156681e-01,0.7106,1,4.730769e-03,1.050442e-18,1.605040e-37,1.058350e-02
weak,0.05,1.266,40,5,3.156681e-01,0.5645,0,1.883353e-03,4.181884e-19,5.301059e-09,7.523474e-03
weak,0.05,1.266,40,10,3.156681e-01,0.5645,1,1.883353e-03,4.181884e-19,6.178086e-18,7.523479e-03
weak,0.05,1.266,40,20,3.156681e-01,0.5645,1,1.883353e-03,4.181884e-19,6.389781e-40,7.523479e-03
weak,0.05,1.266,42,5,3.156681e-01,0.4484,1,7.497763e-04,1.664838e-19,6.673638e-10,5.316859e-03
weak,0.05,1.266,42,10,3.156681e-01,0.4484,1,7.497763e-04,1.664838e-19,2.459540e-19,5.316860e-03
weak,0.05,1.266,42,20,3.156681e-01,0.4484,1,7.497763e-04,1.664838e-19,2.543818e-42,5.316860e-03
weak,0.05,1.266,44,5,3.156681e-01,0.3562,1,2.984913e-04,6.627839e-20,8.401612e-11,3.739495e-03
weak,0.05,1.266,44,10,3.156681e-01,0.3562,1,2.984913e-04,6.627839e-20,9.791606e-21,3.739495e-03
weak,0.05,1.266,44,20,3.156681e-01,0.3562,1,2.984913e-04,6.627839e-20,1.012712e-44,3.739495e-03
weak,0.05,1.266,46,5,3.156681e-01,0.2829,1,1.445604e-04,3.209886e-20,1.057700e-11,2.619981e-03
weak,0.05,1.266,46,10,3.156681e-01,0.2829,1,1.445604e-04,3.209886e-20,3.898109e-22,2.619981e-03
weak,0.05,1.266,46,20,3.156681e-01,0.2829,1,1.445604e-04,3.209886e-20,4.031679e-47,2.619981e-03
weak,0.05,1.266,48,5,3.156681e-01,0.2247,1,7.245184e-05,1.608754e-20,1.331566e-12,1.830007e-03
weak,0.05,1.266,48,10,3.156681e-01,0.2247,1,7.245184e-05,1.608754e-20,1.551865e-23,1.830007e-03
weak,0.05,1.266,48,20,3.156681e-01,0.2247,1,7.245184e-05,1.608754e-20,1.605040e-49,1.830007e-03
weak,0.05,1.266,50,5,3.156681e-01,0.1785,1,3.631194e-05,8.062870e-21,1.676342e-13,1.275146e-03
weak,0.05,1.266,50,10,3.156681e-01,0.1785,1,3.631194e-05,8.062870e-21,6.178086e-25,1.275146e-03
weak,0.05,1.266,50,20,3.156681e-01,0.1785,1,3.631194e-05,8.062870e-21,6.389781e-52,1.275146e-03
weak,0.05,1.548,20,5,2.096053e-01,8.5013,0,1.370406e+03,3.042912e-13,3.538147e+02,-3.914598e+02
weak,0.05,1.548,20,10,2.096053e-01,8.5013,0,1.370406e+03,3.042912e-13,3.046879e-01,-1.583411e-01
weak,0.05,1.548,20,20,2.096053e-01,8.5013,0,1.370406e+03,3.042912e-13,1.835309e-11,1.637618e-01
weak,0.05,1.548,22,5,2.096053e-01,6.7528,0,3.374314e+02,7.492482e-14,4.454263e+01,-4.846776e+01
weak,0.05,1.548,22,10,2.096053e-01,6.7528,0,3.374314e+02,7.492482e-14,1.212984e-02,1.188948e-01
weak,0.05,1.548,22,20,2.096053e-01,6.7528,1,3.374314e+02,7.492482e-14,7.306498e-14,1.316076e-01
weak,0.05,1.548,24,5,2.096053e-01,5.3639,0,8.998424e+01,1.998052e-14,5.607585e+00,-5.938127e+00
weak,0.05,1.548,24,10,2.096053e-01,5.3639,0,8.998424e+01,1.998052e-14,4.828978e-04,1.024983e-01
weak,0.05,1.548,24,20,2.096053e-01,5.3639,1,8.998424e+01,1.998052e-14,2.908769e-16,1.030006e-01
weak,0.05,1.548,26,5,2.096053e-01,4.2607,0,2.717481e+01,6.034019e-15,7.059531e-01,-6.735791e-01
weak,0.05,1.548,26,10,2.096053e-01,4.2607,0,2.717481e+01,6.034019e-15,1.922451e-05,7.850883e-02
weak,0.05,1.548,26,20,2.096053e-01,4.2607,1,2.717481e+01,6.034019e-15,1.158002e-18,7.852870e-02
weak,0.05,1.548,28,5,2.096053e-01,3.3844,0,8.528819e+00,1.893778e-15,8.887423e-02,-3.540309e-02
weak,0.05,1.548,28,10,2.096053e-01,3.3844,0,8.528819e+00,1.893778e-15,7.653415e-07,5.836582e-02
weak,0.05,1.548,28,20,2.096053e-01,3.3844,1,8.528819e+00,1.893778e-15,4.610089e-21,5.836661e-02
weak,0.05,1.548,30,5,2.096053e-01,2.6883,0,2.697049e+00,5.988653e-16,1.118860e-02,3.062991e-02
weak,0.05,1.548,30,10,2.096053e-01,2.6883,0,2.697049e+00,5.988653e-16,3.046879e-08,4.233590e-02
weak,0.05,1.548,30,20,2.096053e-01,2.6883,1,2.697049e+00,5.988653e-16,1.835309e-23,4.233593e-02
weak,0.05,1.548,32,5,2.096053e-01,2.1354,0,9.653769e-01,2.143567e-16,1.408562e-03,2.854443e-02
weak,0.05,1.548,32,10,2.096053e-01,2.1354,0,9.653769e-01,2.143567e-16,1.212984e-09,3.000750e-02
weak,0.05,1.548,32,20,2.096053e-01,2.1354,1,9.653769e-01,2.143567e-16,7.306498e-26,3.000750e-02
weak,0.05,1.548,34,5,2.096053e-01,1.6962,0,3.670261e-01,8.149616e-17,1.773274e-04,2.063147e-02
weak,0.05,1.548,34,10,2.096053e-01,1.6962,1,3.670261e-01,8.149616e-17,4.828978e-11,2.081452e-02
weak,0.05,1.548,34,20,2.096053e-01,1.6962,1,3.670261e-01,8.149616e-17,2.908769e-28,2.081452e-02
weak,0.05,1.548,36,5,2.096053e-01,1.3474,0,1.395394e-01,3.098397e-17,2.232420e-05,1.412855e-02
weak,0.05,1.548,36,10,2.096053e-01,1.3474,1,1.395394e-01,3.098397e-17,1.922451e-12,1.415148e-02
weak,0.05,1.548,36,20,2.096053e-01,1.3474,1,1.395394e-01,3.098397e-17,1.158002e-30,1.415148e-02
weak,0.05,1.548,38,5,2.096053e-01,1.0702,0,5.438888e-02,1.207676e-17,2.810450e-06,9.442870e-03
weak,0.05,1.548,38,10,2.096053e-01,1.0702,1,5.438888e-02,1.207676e-17,7.653415e-14,9.445743e-03
weak,0.05,1.548,38,20,2.096053e-01,1.0702,1,5.438888e-02,1.207676e-17,4.610089e-33,9.445743e-03
weak,0.05,1.548,40,5,2.096053e-01,0.8501,0,2.165260e-02,4.807844e-18,3.538147e-07,6.199303e-03
weak,0.05,1.548,40,10,2.096053e-01,0.8501,1,2.165260e-02,4.807844e-18,3.046879e-15,6.199663e-03
weak,0.05,1.548,40,20,2.096053e-01,0.8501,1,2.165260e-02,4.807844e-18,1.835309e-35,6.199663e-03
weak,0.05,1.548,42,5,2.096053e-01,0.6753,0,8.620057e-03,1.914037e-18,4.454263e-08,4.007505e-03
weak,0.05,1.548,42,10,2.096053e-01,0.6753,1,8.620057e-03,1.914037e-18,1.212984e-16,4.007550e-03
weak,0.05,1.548,42,20,2.096053e-01,0.6753,1,8.620057e-03,1.914037e-18,7.306498e-38,4.007550e-03
weak,0.05,1.548,44,5,2.096053e-01,0.5364,0,3.431706e-03,7.619919e-19,5.607585e-09,2.555174e-03
weak,0.05,1.548,44,10,2.096053e-01,0.5364,1,3.431706e-03,7.619919e-19,4.828978e-18,2.555179e-03
weak,0.05,1.548,44,20,2.096053e-01,0.5364,1,3.431706e-03,7.619919e-19,2.908769e-40,2.555179e-03
weak,0.05,1.548,46,5,2.096053e-01,0.4261,1,1.708690e-03,3.794053e-19,7.059531e-10,1.609206e-03
weak,0.05,1.548,46,10,2.096053e-01,0.4261,1,1.708690e-03,3.794053e-19,1.922451e-19,1.609207e-03
